ID,bucket,sex,spawned,length,width,depth,umol O2,ATPase,stage
L-C-086,9,m,y,45,54,33,19.60953401,2.163287361,4
L-C-087,9,m,n,40,45,28.5,8.626373614,1.968261965,4
L-C-088,9,m,n,40.5,50.5,28,17.90306962,1.872087408,3
L-C-089,9,m,y,32.5,41,24,19.40656869,2.013460375,4
L-C-090,9,m,n,41,47.5,27,1.708155261,1.404284145,4
L-C-091,9,m,n,42,50,31,0.88709853,#N/A,
L-C-092,9,f,n,39.5,46.5,27,24.216559,1.290428,5
L-C-093,9,m,y,42.5,51,31,-0.345231563,1.009516701,
L-C-094,9,f,n,41,49,29,1.66091779,1.539400086,4
L-C-095,9,m,n,42.5,52.5,29,1.671260345,1.728565991,4
L-C-096,9,f,n,43.5,53,29,24.16095484,1.888067988,3
L-C-097,10,m,n,34,42.5,25,1.833054017,#N/A,
L-C-098,10,m,n,46.5,56,31,17.41239824,2.04319176,
L-C-099,10,m,y,34.5,44,24,18.31653564,2.229841375,4
L-C-100,10,m,n,42,48.5,30,35.47293074,#N/A,4
L-C-101,10,f,n,36,45.5,25,17.32036023,1.951275046,3
L-C-102,10,m,n,45,52.5,32,8.668319753,1.949695022,3
L-C-103,10,m,y,46,55,31,5.448942001,2.150307798,4
L-C-104,10,m,n,42,50,34.5,,#N/A,
L-C-105,10,m,n,52,62,35.5,25.24804021,1.563884818,4
L-C-106,15,m,y,48,56.5,32,12.97383425,1.470806026,3
L-C-107,15,f,n,39,46.5,28,21.77682762,#N/A,
L-C-108,15,f,n,46,57,33,8.901938363,#N/A,3
L-C-109,15,m,n,48,59.5,32,25.46754122,1.491793722,4
L-C-111,15,m,n,39,49,27,23.06151871,#N/A,
L-C-112,15,f,n,45,53,32,4.591788557,1.586422867,3
L-C-113,15,m,n,39.5,49,28,28.22316593,#N/A,4
L-C-114,15,m,y,44,51.5,30,23.62382044,1.739480729,4
L-C-115,15,f,n,.,.,.,,#N/A,
L-C-116,15,m,n,41.5,48,26,3.401763565,1.898805376,4
L-C-117,16,m,n,39.5,48.5,29,-0.281419804,1.809078064,3
L-C-118,16,m,n,40,50.5,29.5,34.92760342,#N/A,4
L-C-119,16,f,n,.,.,.,,#N/A,
L-C-120,16,m,y,41,51,30,19.75185473,1.710392763,4
L-C-121,16,f,n,37,47,25,15.56053889,1.883962099,
L-C-122,16,f,n,37,48.5,29,15.98418831,1.464156684,
L-C-123,16,m,n,45,56,30.5,30.07089126,1.660040404,
L-C-124,16,f,n,42,51,27,7.794325659,1.961434527,5
L-C-125,16,m,n,44,51,30,20.23074776,2.178520313,
L-C-126,16,f,n,39.5,47.5,26.5,24.83050825,1.806033933,
L-T-130,11,f,n,50.5,60,36,0.659920179,1.807814936,
L-T-131,11,m,y,45,56,33,35.01952296,2.259631491,
L-T-132,11,f,y,40,47,36.5,1.842675523,1.906608556,3
L-T-133,11,f,n,.,.,.,17.96321105,#N/A,
L-T-134,11,m,n,34.5,45.5,23,,#N/A,
L-T-135,11,f,n,37,45.5,26,,#N/A,
L-T-136,11,f,n,41,49,29,11.12727826,1.850594694,3
L-T-137,11,m,y,37,45,26,30.27605481,#N/A,
L-T-138,11,f,n,32,42,22,16.68363272,1.700933732,3
L-T-139,11,m,n,37,46,23.5,1.259058837,2.358414159,4
L-T-140,11,m,y,43,53,23.5,28.98585239,1.50612368,3
L-T-141,12,f,n,43,52.5,31,20.53922855,1.447722567,3
L-T-142,12,f,n,47,46.5,25,27.75420002,1.969900615,3
L-T-143,12,f,n,43.5,52.5,34.5,4.070402575,1.575437121,3
L-T-144,12,f,y,38,51,28,,#N/A,
L-T-145,12,f,n,.,.,.,,#N/A,
L-T-146,12,f,n,45.5,54,32,25.11059284,#N/A,4
L-T-147,12,m,n,36,40,27,1.639998229,1.563317841,3
L-T-148,12,m,y,36.5,44,25.5,26.31331634,1.915027505,
L-T-149,12,f,n,34,43,26,24.2956181,#N/A,
L-T-150,12,f,n,36,44,26,6.341470063,1.607764597,3
L-T-151,12,f,n,35.5,46,25,2.467187704,#N/A,
L-T-152,13,f,n,46,54,32,2.84104906,1.48247183,4
L-T-153,13,f,n,44,56,34,38.43952125,1.342219121,3
L-T-154,13,m,y,.,.,.,27.32855804,#N/A,
L-T-155,13,f,y,42,50,36,15.48465739,#N/A,3
L-T-156,13,m,y,44,52.5,30.5,33.45205568,1.577138347,
L-T-157,13,f,n,43,52.5,29,12.98285743,#N/A,
L-T-158,13,m,n,42,47,32,13.79924256,#N/A,
L-T-159,13,m,y,38.5,48,27,3.045129919,1.819383076,3
L-T-160,13,f,n,38,47,27,30.31916709,1.965833438,4
L-T-161,13,f,n,36,45,26,16.42187667,2.13591793,3
L-T-162,13,f,n,46,57,32.5,-0.381187323,#N/A,4
L-T-163,14,m,n,47,59,35,26.07753723,1.922960373,4
L-T-164,14,f,n,44,52.5,31.5,20.58300863,2.027415432,4
L-T-165,14,f,y,44,53,33,0.881531093,1.892507003,3
L-T-166,14,m,n,43,53,30,3.10414069,1.293751319,5
L-T-167,14,f,y,39,47.5,27.5,34.25237148,#N/A,
L-T-168,14,m,n,39.5,52,29,27.63544086,1.72379434,4
L-T-169,14,f,n,40,51,29,1.691522184,1.391048063,4
L-T-170,14,f,n,41,52.5,30,11.56724587,1.926223075,5
L-T-171,14,f,n,45,55,33,20.99408081,1.336102719,4
L-T-172,14,f,n,40,49.5,27,0.541758639,#N/A,
L-T-173,14,m,y,41,54,30,-0.150679073,1.710988723,3
M-C-001,1,f,n,41.5,59,30,23.66010937,#N/A,
M-C-002,1,m,n,39,56,30,14.53631317,1.263122605,5
M-C-003,1,f,n,42.5,60,32,28.75888119,#N/A,
M-C-004,1,m,n,38.5,54,27.5,17.71349837,#N/A,4
M-C-005,1,m,y,35,48.5,26,30.29478448,#N/A,
M-C-006,1,m,n,43.5,58,30,0.738221206,#N/A,3
M-C-007,1,f,y,36,53,27.5,25.23748013,#N/A,4
M-C-008,1,m,n,37,52,28,24.17404147,1.43794891,3
M-C-009,1,m,n,40,52,30,24.47037201,#N/A,
M-C-010,1,m,n,38.5,56,28,25.08250562,#N/A,
M-C-011,2,m,n,39,54.5,29,15.20162365,#N/A,4
M-C-012,2,f,n,42,56,31,11.81220859,1.57263177,3
M-C-013,2,m,n,39.5,55,29.5,15.76269712,1.527082337,4
M-C-014,2,m,y,37,53.5,28.5,0.930935136,1.331681024,4
M-C-015,2,m,y,42,58,31,,1.803527981,
M-C-016,2,m,n,39.5,52.5,28.5,20.10478617,1.868653664,4
M-C-017,2,f,n,37.5,50.5,26.5,4.11334622,1.343448058,3
M-C-018,2,f,n,37,52.5,25.5,10.22770699,1.56411035,
M-C-019,2,f,n,39,55.5,27.5,14.53649931,1.739918,3
M-C-020,2,m,n,36.5,49,27,15.39218791,1.676383848,3
M-C-021,2,f,n,41.5,56,31,12.47984673,1.535325475,
M-C-022,2,m,y,34.5,48,25,17.74329439,1.447268232,4
M-C-023,7,m,y,38.5,53,28.5,4.134480113,1.607280856,5
M-C-024,7,m,n,40.4,56,28.5,17.09095867,#N/A,3
M-C-025,7,m,n,37,49,27,26.50217362,2.378431607,4
M-C-026,7,f,n,41,53.5,31,18.65229456,1.602060637,3
M-C-027,7,f,y,31,45.5,24,11.11056555,1.193699385,3
M-C-028,7,f,n,37.5,40,28,11.81810931,2.281875916,3
M-C-029,7,f,y,34,48,26,16.74603375,1.517011745,3
M-C-030,7,m,n,35.5,50.5,28,12.25254537,1.459638733,4
M-C-031,7,f,n,35,50,26,10.5632761,1.61181455,
M-C-032,7,f,n,37,53,27,10.4343076,1.666062417,
M-C-033,8,m,n,40,55,28.5,25.51865367,1.878952014,4
M-C-034,8,m,n,37.5,49.5,30,0.398984202,#N/A,4
M-C-035,8,m,y,38,53,28.5,18.37678471,2.124798,3
M-C-036,8,m,n,34.5,45,25,15.02430534,1.14171123,4
M-C-037,8,m,n,41,53,32,26.05615229,1.657633671,4
M-C-038,8,f,n,40.5,55,30,6.641174674,1.923639035,
M-C-039,8,f,y,35,49,26.5,10.61701794,1.859317256,3
M-C-040,8,f,n,34.5,50,25.5,12.15209782,1.525010262,3
M-C-041,8,f,y,33.5,50,25,8.176847396,2.061748,4
M-C-042,8,f,n,40,56,29,1.92995106,1.343916725,4
M-C-110,15,f,n,40,54,29,22.71603087,#N/A,3
M-T-043,3,m,n,41.5,53,30,-0.120917207,1.518042813,3
M-T-044,3,f,y,44,50,27,16.65646653,1.580700222,4
M-T-045,3,f,y,35,50,26,18.01094887,1.431240658,4
M-T-046,3,m,n,39.5,53.5,28,27.6007696,#N/A,3
M-T-047,3,f,n,35,50,28,12.26114027,1.433504,4
M-T-048,3,m,n,40,53,30.5,4.73314373,1.128830596,4
M-T-049,3,m,n,40,52,30.5,,#N/A,
M-T-050,3,f,n,35.5,49.5,23,2.036766795,#N/A,4
M-T-051,3,m,n,.,.,.,,#N/A,
M-T-052,3,m,n,38.5,51,28.5,1.349357983,1.216516273,4
M-T-053,3,m,n,40,54.5,30,,#N/A,
M-T-054,4,f,n,.,.,.,,#N/A,
M-T-055,4,m,y,38,55.5,28.5,34.67016772,1.561392553,4
M-T-056,4,f,n,37,44,26.5,21.71284844,1.558003346,4
M-T-057,4,m,n,37,49.5,28,23.57674274,1.66825499,4
M-T-058,4,f,n,33,47,29,13.35292036,#N/A,4
M-T-059,4,f,n,36.5,49.5,27.5,15.40234316,1.768831049,4
M-T-060,4,m,n,38,52,28,24.60565473,1.775508445,4
M-T-061,4,m,n,36,51.5,26,22.76480681,1.723671552,4
M-T-062,4,m,n,40,53,29,-7.70203944,1.812584676,4
M-T-063,4,f,n,39.5,57,30,3.278080549,1.442050345,3
M-T-064,5,m,n,35,48.5,27,25.48241827,#N/A,
M-T-065,5,m,n,32.5,50,25,23.14268382,1.798448605,4
M-T-066,5,m,n,41,57,31,34.60723587,1.100486381,3
M-T-067,5,m,n,37,51.5,28.5,-1.910109206,1.644918821,4
M-T-068,5,m,n,42,57,30,36.5732028,#N/A,
M-T-069,5,m,y,36,53,25,27.04095246,2.01896657,3
M-T-070,5,f,n,37,50.5,29.5,18.2651479,#N/A,3
M-T-071,5,f,n,34,46,24.5,3.228571507,#N/A,
M-T-072,5,f,y,36,50,27,25.16394397,1.608321253,4
M-T-073,5,f,n,34,50,25,21.80865908,2.173696851,3
M-T-074,5,f,n,34,51,25.5,,#N/A,
M-T-075,6,m,n,42.5,60,32,23.54449309,1.194793537,4
M-T-076,6,f,n,38.5,53.5,30,2.032115008,1.523785538,3
M-T-077,6,f,n,38,54.5,28,3.366725136,#N/A,
M-T-078,6,f,n,36,50.5,27,20.33957414,2.24314035,4
M-T-079,6,f,n,34,43,25.5,8.918588806,2.079640064,5
M-T-080,6,m,n,36,52,27,1.21570678,1.628095026,4
M-T-081,6,m,n,38,54,27,-2.188039902,1.794418,4
M-T-082,6,f,n,37,51,26,3.12334903,2.092339,3
M-T-083,6,f,n,37,52,29.5,6.067951957,1.564908167,4
M-T-084,6,f,n,34,46.5,27,3.10236705,#N/A,
M-T-085,6,f,n,34,45,27,15.90259282,1.451190077,4
